"_totl,_time","_Vind,_kias","Vtrue,_ktas","Vtrue,_ktgs","hpath,_true","vpath,__deg","pitch,__deg","_roll,__deg","p-alt,ftMSL","hding,_true","hding,__mag","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","copN1,h-def","copN1,v-def"
"191.72128","92.69614","94.13872","94.05511","357.75314","-2.42120","-0.72701","-0.11231","1024.05273","357.68509","342.49634","342.64093","47.35354","-122.30807","1024.05273","-0.19638","-2.50000"
"191.92693","92.68945","94.13032","94.04663","357.74991","-2.42148","-0.72634","-0.11223","1022.67303","357.68210","342.49335","342.63736","47.35363","-122.30807","1022.67303","-0.19484","-2.50000"
"192.12988","92.68282","94.12323","94.03950","357.74667","-2.42158","-0.72532","-0.11251","1021.31134","357.67981","342.49103","342.63412","47.35372","-122.30808","1021.31134","-0.19330","-2.50000"
"192.33411","92.67623","94.11570","94.03208","357.74362","-2.42159","-0.72410","-0.11241","1019.94122","357.67752","342.48871","342.63104","47.35381","-122.30808","1019.94122","-0.19176","-2.50000"
"192.53827","92.66983","94.10808","94.02440","357.74054","-2.42155","-0.69995","-0.11233","1018.57141","357.67447","342.48566","342.62787","47.35389","-122.30809","1018.57141","-0.19022","-2.50000"
"192.73300","92.66356","94.09932","94.01670","357.73767","-2.40703","-0.62480","-0.11189","1017.26837","357.67099","342.48215","342.62482","47.35398","-122.30810","1017.26837","-0.18873","-2.50000"
"192.93269","92.65627","94.08712","94.00748","357.73462","-2.36518","-0.50147","-0.11131","1015.94788","357.66663","342.47778","342.62158","47.35406","-122.30810","1015.94788","-0.18718","-2.50000"
"193.14145","92.64683","94.06815","93.99392","357.73126","-2.28845","-0.33406","-0.11106","1014.60211","357.66321","342.47433","342.61807","47.35416","-122.30811","1014.60211","-0.18559","-2.50000"
"193.34497","92.63484","94.04076","93.97376","357.72809","-2.18136","-0.13926","-0.11040","1013.34296","357.66016","342.47128","342.61459","47.35424","-122.30811","1013.34302","-0.18405","-2.50000"
"193.54391","92.61935","94.00422","93.94594","357.72501","-2.04667","0.08364","-0.10990","1012.17944","357.65698","342.46808","342.61130","47.35433","-122.30811","1012.17944","-0.18253","-2.50000"
"193.74434","92.59861","93.95454","93.90643","357.72165","-1.88005","0.34034","-0.10949","1011.09174","357.65439","342.46545","342.60800","47.35442","-122.30812","1011.09174","-0.18099","-2.50000"
"193.94261","92.57166","93.89075","93.85312","357.71851","-1.68520","0.61065","-0.10888","1010.11609","357.65271","342.46375","342.60483","47.35450","-122.30813","1010.11609","-0.17946","-2.50000"
"194.14294","92.53663","93.81207","93.78487","357.71539","-1.46922","0.86783","-0.10823","1009.24573","357.65045","342.46146","342.60165","47.35459","-122.30813","1009.24573","-0.17792","-2.50000"
"194.33574","92.49457","93.72153","93.70366","357.71246","-1.25636","1.09972","-0.10753","1008.52380","357.64703","342.45804","342.59845","47.35468","-122.30814","1008.52380","-0.17644","-2.50000"
"194.54341","92.43937","93.61069","93.60101","357.70920","-1.02711","1.33758","-0.10711","1007.87366","357.64288","342.45389","342.59479","47.35476","-122.30814","1007.87366","-0.17490","-2.50000"
"194.74965","92.37380","93.48673","93.48344","357.70596","-0.80427","1.55919","-0.10644","1007.35736","357.63879","342.44977","342.59094","47.35485","-122.30814","1007.35736","-0.17337","-2.50000"
"194.94762","92.30035","93.35472","93.35692","357.70285","-0.59885","1.75591","-0.10562","1006.97906","357.63501","342.44595","342.58707","47.35494","-122.30815","1006.97906","-0.17187","-2.50000"
"195.15341","92.21258","93.20477","93.21024","357.69968","-0.39702","1.94389","-0.10463","1006.70160","357.63162","342.44254","342.58273","47.35503","-122.30816","1006.70160","-0.17031","-2.50000"
"195.35538","92.11501","93.04609","93.05322","357.69675","-0.21301","2.11016","-0.10291","1006.53650","357.62769","342.43860","342.57840","47.35511","-122.30816","1006.53650","-0.16878","-2.50000"
"195.55591","92.00695","92.88046","92.88831","357.69376","-0.04563","2.25833","-0.10147","1006.46906","357.62375","342.43463","342.57394","47.35520","-122.30817","1006.46906","-0.16725","-2.50000"
"195.75468","91.88912","92.70911","92.71783","357.69086","0.10466","2.38907","-0.09995","1006.48846","357.62064","342.43149","342.56961","47.35529","-122.30817","1006.48846","-0.16572","-2.50000"
"195.94940","91.76398","92.53469","92.54324","357.68817","0.23628","2.50139","-0.09808","1006.58209","357.61765","342.42847","342.56534","47.35537","-122.30817","1006.58209","-0.16420","-2.50000"
"196.14684","91.62774","92.35192","92.36008","357.68561","0.35371","2.60015","-0.09596","1006.74353","357.61426","342.42508","342.56088","47.35545","-122.30818","1006.74353","-0.16266","-2.50000"
"196.34161","91.48475","92.16661","92.17312","357.68329","0.45385","2.68331","-0.09381","1006.95990","357.60944","342.42023","342.55637","47.35554","-122.30819","1006.95990","-0.16113","-2.50000"
