"_totl,_time","_Vind,_kias","Vtrue,_ktas","Vtrue,_ktgs","hpath,_true","vpath,__deg","pitch,__deg","_roll,__deg","p-alt,ftMSL","hding,_true","hding,__mag","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","copN1,h-def","copN1,v-def"
"0.05025","0.00000","62.42242","62.34108","0.34415","-0.84221","0.01313","-0.01122","2554.87158","0.34185","345.17319","359.70853","47.26474","-122.30951","2554.87158","0.00000","0.00000"
"0.22036","0.00000","62.93356","62.84506","0.35235","-2.55201","0.23600","-0.11181","2554.28882","0.32085","345.15219","357.42374","47.26479","-122.30951","2554.28882","0.00000","0.00000"
"0.41516","0.00000","63.47778","63.28865","0.35858","-3.97051","0.48735","-0.23266","2553.06348","0.25256","345.08386","355.25110","47.26484","-122.30951","2553.06372","0.00000","0.00000"
"0.62190","7.95958","64.01972","63.74569","0.35441","-5.04972","0.38399","-0.33518","2551.28638","0.13725","344.96854","353.36261","47.26490","-122.30951","2551.28638","0.00000","0.00000"
"0.81865","18.47725","64.52338","64.16255","0.33871","-5.87551","-0.17100","-0.41932","2549.24097","0.01350","344.84479","351.88388","47.26497","-122.30951","2549.24097","0.00000","0.00000"
"1.03440","28.42499","65.09003","64.62090","0.31071","-6.72813","-1.19695","-0.50207","2546.64014","359.89291","344.72418","350.54794","47.26503","-122.30951","2546.64014","0.41195","-0.41195"
"1.23425","36.02173","65.64813","65.04504","0.27811","-7.54795","-2.36774","-0.56947","2543.88965","359.81348","344.64474","349.53009","47.26509","-122.30951","2543.88965","1.58442","-1.58442"
"1.43414","42.19490","66.25079","65.47970","0.24290","-8.41493","-3.59725","-0.62603","2540.78345","359.76898","344.60022","348.68857","47.26515","-122.30951","2540.78369","2.10241","-2.10241"
"1.65482","47.50341","66.97616","66.05019","0.20389","-9.40769","-4.90224","-0.67473","2536.92773","359.74640","344.57764","347.93692","47.26522","-122.30951","2536.92773","2.33935","-2.33935"
"1.83799","50.99271","67.62650","66.52387","0.17200","-10.23123","-5.89727","-0.70596","2533.37012","359.73669","344.56790","347.42883","47.26527","-122.30950","2533.37012","2.42398","-2.42398"
"2.03243","54.04100","68.36234","67.02818","0.13844","-11.07936","-6.85477","-0.73237","2529.22437","359.72589","344.55710","346.98083","47.26533","-122.30950","2529.22437","2.46621","-2.46621"
"2.25450","56.82234","69.25717","67.71729","0.09985","-11.99172","-7.84422","-0.75680","2524.04932","359.70532","344.53653","346.56601","47.26540","-122.30950","2524.04932","2.48648","-2.48648"
"2.45291","58.86132","70.10131","68.34457","0.06415","-12.74662","-8.65393","-0.77645","2519.03857","359.67899","344.51016","346.26401","47.26546","-122.30950","2519.03857","2.49401","-2.49401"
"2.65214","60.62825","70.98720","68.99776","0.02689","-13.44579","-9.41140","-0.79557","2513.64868","359.64783","344.47900","346.01160","47.26553","-122.30950","2513.64868","2.49737","-2.49737"
"2.84529","62.13514","71.87968","69.68688","359.98941","-14.06822","-10.10188","-0.81368","2508.10034","359.61572","344.44687","345.80695","47.26559","-122.30950","2508.10034","2.49881","-2.49881"
"3.03298","63.49314","72.77524","70.34814","359.95197","-14.62448","-10.73260","-0.83052","2502.40771","359.58444","344.41559","345.63809","47.26565","-122.30950","2502.40771","2.49945","-2.49945"
"3.25040","64.95450","73.84429","71.19247","359.90747","-15.21058","-11.41351","-0.84885","2495.46777","359.54883","344.37994","345.47366","47.26572","-122.30950","2495.46777","2.49978","-2.49978"
"3.44139","66.18972","74.80807","71.96714","359.86761","-15.67603","-11.96306","-0.86392","2489.07520","359.51849","344.34961","345.35165","47.26579","-122.30950","2489.07520","2.44596","-2.49990"
"3.61991","67.33463","75.72696","72.66204","359.82980","-16.06993","-12.43250","-0.87698","2482.85767","359.49069","344.32178","345.25308","47.26585","-122.30950","2482.85767","2.21853","-2.49995"
"3.85146","68.78826","76.94108","73.71037","359.78015","-16.51979","-12.97763","-0.89223","2474.47095","359.45444","344.28552","345.14401","47.26592","-122.30951","2474.47095","1.85790","-2.49998"
"4.05261","70.03513","78.01216","74.60647","359.73648","-16.85498","-13.39076","-0.90354","2466.90845","359.42181","344.25287","345.06284","47.26599","-122.30951","2466.90845","1.55702","-2.49999"
"4.26633","71.09262","79.16264","75.59781","359.68951","-17.15487","-13.76797","-0.91379","2458.60889","359.38577","344.21683","344.98724","47.26607","-122.30951","2458.60889","1.27521","-2.50000"
"4.45848","72.05332","80.20496","76.49386","359.64682","-17.37516","-14.05376","-0.92168","2450.93262","359.35248","344.18350","344.92673","47.26613","-122.30951","2450.93262","1.05999","-2.50000"
"4.66580","73.10073","81.33356","77.49508","359.60028","-17.56090","-14.30690","-0.92879","2442.44263","359.31595","344.14697","344.86749","47.26621","-122.30951","2442.44263","0.86615","-2.50000"
"4.87339","74.16277","82.46432","78.51443","359.55328","-17.69425","-14.50415","-0.93472","2433.74731","359.27930","344.11029","344.81323","47.26628","-122.30951","2433.74731","0.70621","-2.50000"
"5.08005","75.23105","83.58800","79.55094","359.50629","-17.77607","-14.64624","-0.93934","2424.92065","359.24274","344.07370","344.76321","47.26636","-122.30951","2424.92065","0.57595","-2.50000"
"5.27574","76.25124","84.64722","80.54300","359.46155","-17.80809","-14.73227","-0.94269","2416.42676","359.20804","344.03897","344.71875","47.26643","-122.30951","2416.42676","0.47472","-2.50000"
"5.48534","77.34914","85.77277","81.62548","359.41351","-17.79434","-14.77349","-0.94531","2407.20752","359.17072","344.00165","344.67361","47.26651","-122.30951","2407.20752","0.38620","-2.50000"
"5.69146","78.42802","86.86779","82.70554","359.36624","-17.73373","-14.76423","-0.94657","2398.04224","359.13373","343.96463","344.63113","47.26659","-122.30951","2398.04224","0.31591","-2.50000"
"5.89426","79.49097","87.93135","83.76453","359.31979","-17.63032","-14.70808","-0.94641","2388.95361","359.09641","343.92731","344.59067","47.26667","-122.30952","2388.95361","0.25945","-2.50000"
"6.09587","80.54585","88.97164","84.82433","359.27356","-17.48583","-14.60769","-0.94502","2379.87231","359.05862","343.88953","344.55136","47.26675","-122.30952","2379.87231","0.21359","-2.50000"
"6.30057","81.61222","90.00904","85.89680","359.22665","-17.29823","-14.46181","-0.94328","2370.62964","359.02042","343.85126","344.51199","47.26683","-122.30952","2370.62964","0.17559","-2.50000"
"6.49431","82.61369","90.96941","86.92041","359.18240","-17.08370","-14.28446","-0.94096","2361.88330","358.98462","343.81546","344.47516","47.26690","-122.30952","2361.88330","0.14622","-2.50000"
"6.69016","83.61661","91.92314","87.94740","359.13794","-16.83165","-14.06784","-0.94277","2353.06689","358.94815","343.77896","344.43826","47.26698","-122.30952","2353.06689","0.12186","-2.50000"
"6.88606","84.60858","92.88239","88.99996","359.09351","-16.54379","-13.81297","-0.96184","2344.29370","358.90991","343.74072","344.40250","47.26706","-122.30952","2344.29370","0.10188","-2.50000"
"7.08950","85.62812","93.88331","90.11497","359.04675","-16.20565","-13.50630","-0.98864","2335.25513","358.86444","343.69522","344.36667","47.26715","-122.30952","2335.25513","0.08498","-2.50000"
"7.29555","86.65128","94.88826","91.24969","358.99783","-15.82219","-13.15217","-1.01716","2326.20044","358.81085","343.64163","344.33066","47.26723","-122.30952","2326.20044","0.07112","-2.50000"
"7.48943","87.60613","95.81634","92.32403","358.95010","-15.42478","-12.78062","-1.04277","2317.79907","358.75494","343.58569","344.29584","47.26731","-122.30953","2317.79907","0.06053","-2.50000"
"7.69666","88.61831","96.78015","93.45674","358.89703","-14.96256","-12.34491","-1.06808","2308.97388","358.69189","343.52261","344.25714","47.26741","-122.30953","2308.97388","0.05136","-2.50000"
"7.88959","89.55093","97.64731","94.49332","358.84595","-14.49971","-11.90555","-1.08981","2300.92798","358.63297","343.46368","344.21954","47.26749","-122.30953","2300.92798","0.04444","-2.50000"
"8.09335","90.52181","98.52632","95.54558","358.79050","-13.97892","-11.40844","-1.10997","2292.63501","358.57159","343.40228","344.17838","47.26758","-122.30954","2292.63501","0.03857","-2.50000"
"8.30333","91.50153","99.37128","96.61720","358.73196","-13.41152","-10.86356","-1.11642","2284.33765","358.51065","343.34131","344.13431","47.26767","-122.30954","2284.33765","0.03376","-2.50000"
"8.49477","92.37106","100.07604","97.51562","358.67825","-12.87054","-10.34216","-1.11213","2277.01782","358.45895","343.28958","344.09247","47.26776","-122.30954","2277.01782","0.03025","-2.50000"
"8.69273","93.24020","100.74824","98.39639","358.62286","-12.29060","-9.78116","-1.10478","2269.71729","358.41022","343.24084","344.04785","47.26785","-122.30955","2269.71729","0.02735","-2.50000"
"8.89172","94.07571","101.37010","99.23553","358.56793","-11.68841","-9.19584","-1.09646","2262.67334","358.36600","343.19659","344.00269","47.26794","-122.30955","2262.67334","0.02509","-2.50000"
"9.08650","94.85188","101.92767","100.00024","358.51508","-11.08216","-8.60400","-1.08711","2256.08252","358.32416","343.15472","343.95850","47.26803","-122.30956","2256.08252","0.02341","-2.50000"
"9.29125","95.62217","102.46339","100.74866","358.46017","-10.42855","-7.96339","-1.07743","2249.49780","358.28098","343.11151","343.91220","47.26812","-122.30956","2249.49780","0.02214","-2.50000"
"9.49597","96.34446","102.94806","101.43758","358.40631","-9.75978","-7.30542","-1.06815","2243.28467","358.23871","343.06924","343.86624","47.26822","-122.30956","2243.28467","0.02116","-2.50000"
"9.70097","97.01860","103.38380","102.06947","358.35327","-9.07622","-6.63126","-1.05900","2237.45044","358.19446","343.02496","343.82034","47.26832","-122.30956","2237.45044","0.02055","-2.50000"
"9.89339","97.60617","103.74664","102.60948","358.30399","-8.42343","-5.98569","-1.05205","2232.34058","358.15195","342.98242","343.77716","47.26841","-122.30957","2232.34058","0.02030","-2.50000"
"10.09200","98.16662","104.07436","103.10970","358.25363","-7.73970","-5.30816","-1.04596","2227.45093","358.10727","342.93774","343.73236","47.26850","-122.30957","2227.45093","0.02020","-2.50000"
"10.28779","98.67338","104.35157","103.54658","358.20441","-7.05711","-4.63051","-1.04134","2223.02466","358.06287","342.89331","343.68805","47.26860","-122.30958","2223.02466","0.02016","-2.50000"
"10.48981","99.14845","104.58736","103.93233","358.15417","-6.34567","-3.92325","-1.03656","2218.87671","358.01593","342.84634","343.64212","47.26869","-122.30958","2218.87671","0.02023","-2.50000"
"10.69325","99.57747","104.77513","104.25998","358.10376","-5.62361","-3.20437","-1.03288","2215.13818","357.96802","342.79840","343.59564","47.26879","-122.30959","2215.13818","0.02062","-2.50000"
