"_totl,_time","_Vind,_kias","Vtrue,_ktas","Vtrue,_ktgs","hpath,_true","vpath,__deg","pitch,__deg","_roll,__deg","p-alt,ftMSL","hding,_true","hding,__mag","__mag,_comp","__lat,__deg","__lon,__deg","___CG,ftMSL","copN1,h-def","copN1,v-def"
"182.02913","93.07525","94.59555","94.51207","358.27130","-2.41524","-0.76822","-0.90841","1089.17847","358.18253","342.99481","343.75143","47.34932","-122.30784","1089.17847","-0.26056","-2.50000"
"182.23064","93.06567","94.58361","94.50015","358.23639","-2.41546","-0.76750","-0.86168","1087.82336","358.14798","342.96027","343.69406","47.34940","-122.30785","1087.82336","-0.25952","-2.50000"
"182.43181","93.05609","94.57164","94.48812","358.20334","-2.41587","-0.76693","-0.81536","1086.47046","358.11465","342.92691","343.63754","47.34949","-122.30785","1086.47046","-0.25849","-2.50000"
"182.63307","93.04655","94.56090","94.47739","358.17197","-2.41628","-0.76593","-0.77018","1085.11694","358.08401","342.89624","343.58203","47.34958","-122.30785","1085.11694","-0.25745","-2.50000"
"182.83649","93.03694","94.54925","94.46573","358.14212","-2.41659","-0.76478","-0.72548","1083.74878","358.05624","342.86844","343.52725","47.34967","-122.30785","1083.74890","-0.25641","-2.50000"
"183.04367","93.02716","94.53732","94.45377","358.11371","-2.41688","-0.76381","-0.68108","1082.35535","358.03021","342.84238","343.47324","47.34976","-122.30786","1082.35535","-0.25536","-2.50000"
"183.24373","93.01774","94.52710","94.44353","358.08807","-2.41712","-0.76291","-0.63972","1081.00989","358.00644","342.81860","343.42291","47.34985","-122.30787","1081.01001","-0.25434","-2.50000"
"183.44472","93.00841","94.51737","94.43378","358.06400","-2.41724","-0.76182","-0.59972","1079.65820","357.98380","342.79593","343.37408","47.34993","-122.30787","1079.65820","-0.25331","-2.50000"
"183.66058","92.99853","94.50481","94.42123","358.03992","-2.41742","-0.76088","-0.55839","1078.20654","357.96088","342.77298","343.32376","47.35003","-122.30788","1078.20654","-0.25220","-2.50000"
"183.86127","92.98943","94.49461","94.41101","358.01913","-2.41762","-0.76008","-0.52164","1076.85706","357.94083","342.75293","343.27878","47.35011","-122.30788","1076.85706","-0.25115","-2.50000"
"184.05844","92.98056","94.48380","94.40022","358.00015","-2.41785","-0.75939","-0.48703","1075.53113","357.92188","342.73395","343.23633","47.35020","-122.30788","1075.53113","-0.25013","-2.50000"
"184.26033","92.97154","94.47330","94.38969","357.98193","-2.41817","-0.75850","-0.45382","1074.17346","357.90442","342.71646","343.19473","47.35029","-122.30789","1074.17358","-0.24905","-2.50000"
"184.46048","92.96263","94.46266","94.37912","357.96530","-2.41838","-0.75750","-0.42247","1072.82764","357.88922","342.70126","343.15546","47.35038","-122.30789","1072.82764","-0.24790","-2.50000"
